bank,file_start,file_end,cpu_start,cpu_end,classification,status,confidence,source_sha256,notes
0x42,0x108000,0x10bfff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=00e37398a170f97beabc00562f0930cd0a0811e92ffaf423d72d1648c2351c80; entropy=5.573196; unique_bytes=256; zero_bytes=4958; ff_bytes=1476
0x43,0x10c000,0x10ffff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=7b44dc66b5454c6acd7d32127a87e9e12f4a8fe689e6419ad0041d4f6e67cd36; entropy=4.222024; unique_bytes=256; zero_bytes=8665; ff_bytes=853
0x44,0x110000,0x113fff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=670bea07d688a5e7f2ea5ce90eba8e39cd69f2be3435bfd353b154d79fbcfd0f; entropy=6.800007; unique_bytes=256; zero_bytes=596; ff_bytes=75
0x45,0x114000,0x117fff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=904c490b99967ad8dc317bb0c7e2489a3e49d1c8a3868160c71ad7784c3f9bf2; entropy=6.840758; unique_bytes=256; zero_bytes=1188; ff_bytes=55
0x46,0x118000,0x11bfff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=e10d5a055f6b0ce8a1142f4be42a2daca29be1e5efd75ac716024723e9f484d4; entropy=6.988723; unique_bytes=256; zero_bytes=427; ff_bytes=52
0x47,0x11c000,0x11ffff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=23c9fc86a03b90ca848cddefc6c1f9134c8490f8207ca27210f7c3fe70897186; entropy=5.643015; unique_bytes=256; zero_bytes=5200; ff_bytes=165
0x48,0x120000,0x123fff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=8a1b64fef2685bb9a921b204edafd7097f7e2c96dc145c18c9fb5610be3de976; entropy=7.292737; unique_bytes=256; zero_bytes=632; ff_bytes=734
0x49,0x124000,0x127fff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=4fd8927b950c3e7ab9d22d360549a8954b11675addcbb1d867a2027dc8bd642f; entropy=7.135771; unique_bytes=256; zero_bytes=761; ff_bytes=762
0x4a,0x128000,0x12bfff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=ff10c4e99d244062afc08e1953136b228f9681e19b1c3cb95f9c6a45fae2459f; entropy=7.131888; unique_bytes=256; zero_bytes=716; ff_bytes=773
0x4b,0x12c000,0x12ffff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=956f1c95be44f7a40d6df205a5f6afba408c310c3d02ddf8d88e0b071fac6e2c; entropy=7.050927; unique_bytes=256; zero_bytes=692; ff_bytes=884
0x4c,0x130000,0x133fff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=40ee2e5cfce7fa38c7b3aad64882e39833b58eb62d2c79fec019ecda768f0eee; entropy=7.129649; unique_bytes=256; zero_bytes=699; ff_bytes=831
0x4d,0x134000,0x137fff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=87283f9293da80b95b79eee043f722b0fffb5f06e7b1505fd41eecb003e7c395; entropy=7.060067; unique_bytes=256; zero_bytes=789; ff_bytes=868
